unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
c2000_a.csv:130794,"51.1307",7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",4
c2000_a.csv:130794,"51.1601",7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",1,"R",3,"R",51,"Z",0,"R",1,"R",4,"R",60
c2000_a.csv:130794,"51.2201",7,"R",2,"R",8,"R",2,"R",1,"Z",0,"Z",0,"R",11,"R",20,"R",3,"R",2,"R",10,"R",40,"R",1,"R",3,"R",29,"R",74
c2000_a.csv:130794,"52.0101",7,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"52.0299",7,"R",33,"R",10,"R",4,"R",4,"Z",0,"Z",0,"R",22,"R",13,"R",3,"R",1,"R",66,"R",37,"R",3,"R",2,"R",131,"R",67
c2000_a.csv:130794,"52.1101",7,"R",15,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",15,"R",7
c2000_a.csv:130794,"99.0000",7,"R",171,"R",110,"R",14,"R",17,"R",4,"R",1,"R",59,"R",68,"R",24,"R",17,"R",281,"R",286,"R",27,"R",23,"R",580,"R",522
c2000_a.csv:130794,"03.0501",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",2,"Z",0,"R",1,"R",1,"R",4
c2000_a.csv:130794,"05.0102",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"R",2
c2000_a.csv:130794,"05.0201",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
c2000_a.csv:130794,"11.0101",8,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"14.0101",8,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0
c2000_a.csv:130794,"14.0701",8,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2
c2000_a.csv:130794,"14.1001",8,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4,"Z",0
c2000_a.csv:130794,"14.1201",8,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",3,"Z",0
c2000_a.csv:130794,"14.1901",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"16.0399",8,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2
c2000_a.csv:130794,"16.0902",8,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0
c2000_a.csv:130794,"16.0905",8,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",3
c2000_a.csv:130794,"16.1201",8,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
c2000_a.csv:130794,"23.0101",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",2,"R",2
