unitid,cipcode,awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace15,crace16,bal_m,bal_w
11996,70000,3,0,1,0,3,0,0,0,0,0,2,1,2,1,8,0,0
11996,990000,3,0,1,0,3,0,0,0,0,0,2,1,2,1,8,0,0
29026,10000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29026,40000,7,0,0,0,0,0,0,1,0,0,1,1,1,2,2,0,0
29026,60000,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
29026,60000,7,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0
29026,90000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29026,110000,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29026,130000,7,0,0,0,0,0,0,0,0,0,0,3,14,3,14,0,0
29026,170000,7,0,0,0,0,0,0,0,0,0,0,2,4,2,4,0,0
29026,220000,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29026,300000,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29026,380000,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29026,420000,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29026,420000,7,0,0,0,0,0,0,0,0,0,0,9,29,9,29,0,0
29026,430000,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0
29026,430000,7,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0
29026,450000,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2
29026,450000,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
29026,500000,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29026,990000,5,0,0,0,0,0,0,0,0,0,0,3,1,10,3,7,2
29026,990000,7,1,0,0,0,0,0,1,0,0,1,36,49,42,51,4,1
29085,70000,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
29085,70000,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29085,170000,2,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0
29085,240000,3,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0
29085,300000,3,0,0,0,0,0,0,0,0,0,0,1,13,1,13,0,0
29085,430000,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
29085,990000,2,0,0,0,0,0,0,0,0,0,0,5,4,5,4,0,0
29085,990000,3,0,0,0,0,0,0,0,0,0,0,3,17,3,17,0,0
29130,60000,5,1,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0
29130,90000,5,0,0,0,2,0,0,0,0,0,0,1,2,1,3,0,-1
29130,230000,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
29130,260000,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29130,300000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29130,380000,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
29130,990000,5,1,0,0,2,0,0,0,0,0,0,5,8,6,9,0,-1
29317,60000,3,0,0,0,0,0,0,0,0,0,0,0,0,17,38,17,38
29317,70000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
29317,80000,2,0,0,0,0,0,0,0,0,0,0,0,0,9,52,9,52
29317,80000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
29317,150000,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0
29317,170000,2,0,0,0,0,0,0,0,0,0,0,0,0,60,149,60,149
29317,470000,2,0,0,0,0,0,0,0,0,0,0,0,0,174,0,174,0
29317,990000,2,0,0,0,0,0,0,0,0,0,0,0,0,243,203,243,203
29317,990000,3,0,0,0,0,0,0,0,0,0,0,0,0,21,50,21,50
100636,60000,3,202,34,0,0,0,0,0,0,0,0,987,164,1189,198,0,0
100636,70000,3,0,0,3,3,0,0,0,0,0,0,17,14,20,17,0,0
100636,90000,3,0,0,20,5,0,0,0,0,0,0,97,23,117,28,0,0
100636,100000,3,0,0,68,6,0,0,0,0,0,0,330,31,398,37,0,0
100636,110000,3,0,0,39,4,0,0,0,0,0,0,193,20,232,24,0,0
100636,120000,3,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0
100636,130000,3,0,0,29,3,0,0,0,0,0,0,144,14,173,17,0,0
