unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100724,"99.0000",3,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,8
100724,"99.0000",5,8,4,133,201,0,0,,,,,,,0,0,141,205
100724,"99.0000",7,1,,20,71,0,0,2,1,,1,4,2,0,0,27,75
100724,"99.0000",8,,,,,0,0,,1,,,,,,0,,1
100751,"04.0000",5,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,12
100751,"05.0000",5,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3
100751,"05.0000",7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,2
100751,"06.0000",5,6,3,15,20,,,,1,1,,331,212,0,0,353,236
100751,"06.0000",7,6,,,,1,2,,,,,59,33,0,0,66,35
100751,"06.0000",9,3,,,1,,,,,,,7,1,0,0,10,2
100751,"07.0000",5,0,0,0,0,0,0,0,0,0,0,,2,,0,,2
100751,"09.0000",5,1,,7,18,0,0,0,0,0,0,131,152,0,0,139,170
100751,"09.0000",7,,1,,,0,0,0,0,0,0,1,4,0,0,1,5
100751,"11.0000",5,,1,3,3,0,0,,1,0,0,18,8,0,0,21,13
100751,"11.0000",7,2,1,,,0,0,,,0,0,1,2,0,0,3,3
100751,"13.0000",5,,1,2,9,0,0,1,,0,0,33,160,0,0,36,170
100751,"13.0000",7,,,1,2,0,0,,,0,0,21,110,0,0,22,112
100751,"13.0000",8,,,,,0,0,,,0,0,1,3,0,0,1,3
100751,"13.0000",9,1,,1,3,0,0,,,0,0,21,32,0,1,23,36
100751,"14.0000",5,56,10,19,9,1,1,4,2,3,,179,38,0,0,262,60
100751,"14.0000",7,20,,,,,,3,1,,,21,4,0,0,44,5
100751,"14.0000",9,3,,,,,,,,,,3,,0,,6,
100751,"15.0000",5,7,,3,1,0,0,1,,0,0,12,,0,0,23,1
100751,"16.0000",5,0,0,,,0,0,0,0,0,0,2,2,0,0,2,2
100751,"16.0000",9,0,0,,1,0,0,0,0,0,0,,,,0,,1
100751,"17.0000",5,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,5
100751,"17.0000",7,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4
100751,"18.0000",5,,,1,15,0,0,0,0,0,0,23,99,0,0,24,114
100751,"18.0000",7,,1,,,0,0,0,0,0,0,,10,,0,,11
100751,"19.0000",5,,,1,6,0,0,0,0,,1,2,76,0,0,3,83
100751,"19.0000",7,,1,,1,0,0,0,0,,,,4,,0,,6
100751,"20.0000",5,0,0,0,0,0,0,0,0,0,0,,1,,0,,1
100751,"20.0000",7,0,0,0,0,0,0,0,0,0,0,,2,,0,,2
100751,"22.0000",5,0,0,0,0,0,0,0,0,0,0,9,,0,,9,
100751,"22.0101",10,0,0,0,0,1,,0,0,0,0,98,46,0,0,99,46
100751,"23.0000",5,0,0,,4,1,,0,0,0,0,8,24,0,0,9,28
100751,"23.0000",7,0,0,,,,1,0,0,0,0,7,7,0,0,7,8
100751,"23.0000",9,0,0,,,,,0,0,0,0,,1,,0,,1
100751,"24.0000",5,0,0,0,0,0,0,0,0,0,0,,4,,0,,4
100751,"25.0000",7,0,0,,1,1,,0,0,0,0,9,30,0,0,10,31
100751,"25.0000",8,0,0,,,,,0,0,0,0,1,1,0,0,1,1
100751,"26.0000",5,,,2,1,0,0,0,0,,1,18,11,0,0,20,13
100751,"26.0000",7,,2,,,0,0,0,0,,,2,3,0,0,2,5
100751,"26.0000",9,1,,,,0,0,0,0,,,1,1,0,0,2,1
100751,"27.0000",5,0,0,2,3,0,0,0,0,0,0,8,7,0,0,10,10
100751,"27.0000",7,0,0,,,0,0,0,0,0,0,1,,0,,1,
100751,"27.0000",9,0,0,,,0,0,0,0,0,0,3,,0,,3,
100751,"30.0000",5,1,,1,,0,0,0,0,0,0,53,33,0,0,55,33
100751,"30.0000",9,,,,,0,0,0,0,0,0,,1,,0,,1
100751,"31.0000",5,0,0,,1,0,0,0,0,0,0,1,4,0,0,1,5
100751,"31.0000",7,0,0,,,0,0,0,0,0,0,5,4,0,0,5,4
100751,"31.0000",9,0,0,,,0,0,0,0,0,0,,2,,0,,2
100751,"38.0000",5,1,,0,0,0,0,0,0,0,0,2,,0,,3,
100751,"40.0000",5,3,,0,0,0,0,,1,0,0,30,11,0,0,33,12
100751,"40.0000",7,,,0,0,0,0,,,0,0,9,3,0,0,9,3
100751,"40.0000",9,4,,0,0,0,0,,,0,0,2,,0,,6,
100751,"42.0000",5,0,0,,6,,1,,,0,0,26,26,0,0,26,33
100751,"42.0000",7,0,0,1,1,,,,,0,0,2,2,0,0,3,3
100751,"42.0000",9,0,0,1,,,,1,,0,0,5,3,0,0,7,3
100751,"43.0000",5,0,0,2,4,0,0,0,0,0,0,17,9,0,0,19,13
100751,"43.0000",7,0,0,1,,0,0,0,0,0,0,6,3,0,0,7,3
100751,"44.0000",5,1,,1,1,0,0,0,0,,,1,23,0,0,3,24
100751,"44.0000",7,1,,1,6,0,0,0,0,,1,12,37,0,0,14,44
100751,"44.0000",9,,,,1,0,0,0,0,,,,2,,0,,3
100751,"45.0000",5,6,1,6,7,0,0,0,0,0,0,65,24,0,0,77,32
100751,"45.0000",7,1,1,,,0,0,0,0,0,0,13,4,0,0,14,5
